产品名称,单价,订购款
苹果汁,18.0,216.0
牛奶,39.0,1560.0
蕃茄酱,10.0,700.0
盐,22.0,902.0
麻油,21.4,1387.8
酱油,25.0,1325.0
海鲜粉,38.0,950.0
胡椒粉,40.0,800.0
鸡,97.0,1164.0
蟹,31.0,434.0
民众奶酪,21.0,630.0
德国奶酪,38.0,760.0
龙虾,6.0,384.0
沙茶,23.3,767.3
味精,15.5,542.5
饼干,17.5,1465.8
猪肉,39.0,3861.0
墨鱼,62.5,4687.5
糖果,9.2,515.2
桂花糕,81.0,6075.0
花生,15.0,600.0
糯米,21.0,1281.0
燕麦,9.0,675.0
汽水,4.5,99.0
巧克力,14.0,154.0
棉花糖,31.2,749.5
牛肉干,43.9,1141.4
烤肉酱,45.6,1231.2
鸭肉,123.8,2723.4
黄鱼,25.9,2071.2
温馨奶酪,12.5,875.0
白奶酪,32.0,1280.0
浪花奶酪,2.5,225.0
啤酒,14.0,840.0
蜜桃汁,18.0,558.0
鱿鱼,19.0,570.0
干贝,26.0,1300.0
绿茶,263.5,7905.0
运动饮料,18.0,1530.0
虾米,18.4,588.8
虾子,9.7,530.8
糙米,14.0,420.0
柳橙汁,46.0,460.0
蚝油,19.5,1750.5
雪鱼,9.5,665.0
蚵,12.0,600.0
蛋糕,9.5,760.0
玉米片,12.8,191.3
薯条,20.0,1200.0
玉米饼,16.3,1202.5
猪肉干,53.0,3339.0
三合一麦片,7.0,77.0
盐水鸭,32.8,2066.4
鸡肉,7.5,111.8
鸭肉,24.0,1392.0
白米,38.0,380.0
小米,19.5,312.0
海参,13.3,795.0
苏澳奶酪,55.0,4455.0
花奶酪,34.0,1734.0
海鲜酱,28.5,3562.5
山渣片,49.3,2070.6
甜辣酱,43.9,1360.9
黄豆,33.3,2660.0
海苔酱,21.1,2084.0
肉松,17.0,1700.0
矿泉水,14.0,0.0
绿豆糕,12.5,125.0
黑奶酪,36.0,0.0
苏打水,15.0,150.0
义大利奶酪,21.5,1978.0
酸奶酪,34.8,0.0
海哲皮,15.0,600.0
鸡精,10.0,200.0
浓缩咖啡,7.8,0.0
柠檬汁,18.0,0.0
辣椒粉,13.0,0.0
